Economy,Code,Region,Income group,Lending category,Other
Norway,NOR,Europe & Central Asia,High income,..,
Oman,OMN,Middle East & North Africa,High income,..,
Pakistan,PAK,South Asia,Lower middle income,Blend,
Palau,PLW,East Asia & Pacific,High income,IBRD,
Panama,PAN,Latin America & Caribbean,High income,IBRD,
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,Blend,
Paraguay,PRY,Latin America & Caribbean,Upper middle income,IBRD,
Peru,PER,Latin America & Caribbean,Upper middle income,IBRD,
Philippines,PHL,East Asia & Pacific,Lower middle income,IBRD,
Poland,POL,Europe & Central Asia,High income,IBRD,
Portugal,PRT,Europe & Central Asia,High income,..,EMU
Puerto Rico,PRI,Latin America & Caribbean,High income,..,
Qatar,QAT,Middle East & North Africa,High income,..,
Romania,ROU,Europe & Central Asia,High income,IBRD,
Russian Federation,RUS,Europe & Central Asia,Upper middle income,IBRD,
Rwanda,RWA,Sub-Saharan Africa,Low income,IDA,HIPC
Samoa,WSM,East Asia & Pacific,Upper middle income,IDA,
San Marino,SMR,Europe & Central Asia,High income,..,
São Tomé and Principe,STP,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Saudi Arabia,SAU,Middle East & North Africa,High income,..,
Senegal,SEN,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Serbia,SRB,Europe & Central Asia,Upper middle income,IBRD,
Seychelles,SYC,Sub-Saharan Africa,High income,IBRD,
Sierra Leone,SLE,Sub-Saharan Africa,Low income,IDA,HIPC
Singapore,SGP,East Asia & Pacific,High income,..,
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,..,
Slovak Republic,SVK,Europe & Central Asia,High income,..,EMU
Slovenia,SVN,Europe & Central Asia,High income,..,EMU
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,IDA,
Somalia,SOM,Sub-Saharan Africa,Low income,IDA,HIPC
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,IBRD,
South Sudan,SSD,Sub-Saharan Africa,Low income,IDA,
Spain,ESP,Europe & Central Asia,High income,..,EMU
Sri Lanka,LKA,South Asia,Lower middle income,IBRD,
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,IBRD,
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,Blend,
St. Martin (French part),MAF,Latin America & Caribbean,High income,..,
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,Blend,
Sudan,SDN,Sub-Saharan Africa,Low income,IDA,HIPC
Suriname,SUR,Latin America & Caribbean,Upper middle income,IBRD,
Sweden,SWE,Europe & Central Asia,High income,..,
Switzerland,CHE,Europe & Central Asia,High income,..,
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,IDA,
"Taiwan, China",TWN,East Asia & Pacific,High income,..,
Tajikistan,TJK,Europe & Central Asia,Low income,IDA,
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Thailand,THA,East Asia & Pacific,Upper middle income,IBRD,
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,Blend,
Togo,TGO,Sub-Saharan Africa,Low income,IDA,HIPC
Tonga,TON,East Asia & Pacific,Upper middle income,IDA,
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,IBRD,
Tunisia,TUN,Middle East & North Africa,Lower middle income,IBRD,
Turkey,TUR,Europe & Central Asia,Upper middle income,IBRD,
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,IBRD,
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,..,
Tuvalu,TUV,East Asia & Pacific,Upper middle income,IDA,
Uganda,UGA,Sub-Saharan Africa,Low income,IDA,HIPC
Ukraine,UKR,Europe & Central Asia,Lower middle income,IBRD,
United Arab Emirates,ARE,Middle East & North Africa,High income,..,
United Kingdom,GBR,Europe & Central Asia,High income,..,
United States,USA,North America,High income,..,
Uruguay,URY,Latin America & Caribbean,High income,IBRD,
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,Blend,
Vanuatu,VUT,East Asia & Pacific,Lower middle income,IDA,
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income,IBRD,
Vietnam,VNM,East Asia & Pacific,Lower middle income,IBRD,
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,..,
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,..,
"Yemen, Rep.",YEM,Middle East & North Africa,Low income,IDA,
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,Blend,
